customer_id,event_date,event_type,device,ip_address
1,2024-07-19 12:27:51,Login,Desktop PC,47.25.3.144
1,2024-02-23 06:27:12,Logout,Android Phone,169.4.247.202
1,2024-02-25 01:36:05,Fund Transfer,Laptop,115.6.41.24
1,2024-07-31 01:24:47,Fund Transfer,Laptop,109.184.163.6
1,2024-02-07 05:23:00,Logout,iPad,213.176.246.67
1,2024-09-01 09:23:38,Password Change,Laptop,148.98.32.52
1,2024-02-17 06:57:56,Logout,Android Phone,195.229.105.209
1,2024-08-11 18:42:01,Logout,Desktop PC,106.133.18.203
1,2024-03-30 06:19:54,Password Change,Desktop PC,134.212.129.133
1,2024-07-05 22:14:56,Fund Transfer,iPad,182.64.154.158
1,2024-05-02 01:07:29,Fund Transfer,Laptop,213.174.252.94
2,2024-01-30 22:07:36,Fund Transfer,iPhone,174.62.152.58
2,2024-07-26 03:47:24,Fund Transfer,iPad,168.94.202.222
2,2024-06-13 20:01:02,Password Change,Desktop PC,195.154.7.181
2,2024-06-21 10:52:07,Password Change,Android Phone,207.250.62.225
2,2024-03-22 09:06:22,Fund Transfer,iPhone,2.152.156.13
2,2024-08-20 08:15:30,Password Change,iPad,72.69.125.37
2,2024-08-29 11:02:28,Password Change,Desktop PC,154.157.188.248
2,2024-08-09 18:29:28,Login,iPad,133.135.67.141
3,2024-05-12 05:25:24,Password Change,Laptop,119.186.146.177
3,2024-04-18 11:11:50,Logout,Android Phone,98.166.207.112
3,2024-07-28 18:34:31,Login,iPad,214.250.223.79
3,2024-07-23 22:16:37,Fund Transfer,iPhone,166.50.18.90
3,2024-09-16 05:36:59,Fund Transfer,Android Phone,204.238.53.119
3,2024-07-10 07:01:31,Fund Transfer,Desktop PC,46.209.193.2
3,2024-06-06 01:59:51,Login,Laptop,61.9.59.186
3,2024-07-23 01:30:30,Password Change,Laptop,196.11.225.141
3,2024-08-17 11:06:40,Fund Transfer,Desktop PC,32.246.96.228
3,2024-06-21 00:48:01,Login,Android Phone,111.145.200.199
